generation,timestamp_ms,elapsed_ms,best_fitness,avg_fitness,variance,population_size,unique_operators,rule_count,corpus_bytes,convergence_rate
1,1774969292405,463,0.000000,0.000000,0.000000,20,178,54,8192,0.000000
2,1774969292568,587,0.000000,0.000000,0.000000,20,131,54,8192,0.000000
3,1774969292630,629,0.000000,0.000000,0.000000,20,81,54,8192,0.000000
4,1774969292662,660,0.000000,0.000000,0.000000,20,71,54,8192,0.000000
5,1774969292697,691,0.000000,0.000000,0.000000,20,54,54,8192,0.000000
6,1774969292718,713,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
7,1774969292740,733,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
8,1774969292769,768,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
9,1774969292807,805,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
10,1774969292836,836,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
11,1774969292867,857,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
12,1774969292887,888,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
13,1774969292918,911,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
14,1774969292950,937,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
15,1774969292977,965,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
16,1774969292994,988,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
17,1774969293017,1010,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
18,1774969293034,1031,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
20,1774969293070,1053,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
21,1774969293090,1074,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
22,1774969293110,1100,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
23,1774969293128,1122,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
24,1774969293146,1143,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
25,1774969293167,1165,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
26,1774969293188,1187,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
28,1774969293226,1215,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
29,1774969293252,1237,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
30,1774969293278,1278,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
31,1774969293307,1306,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
32,1774969293337,1329,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
33,1774969293361,1359,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
34,1774969293389,1387,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
35,1774969293418,1411,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
36,1774969293442,1433,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
37,1774969293465,1455,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
38,1774969293484,1477,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
39,1774969293513,1503,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
40,1774969293535,1528,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
41,1774969293559,1551,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
42,1774969293581,1573,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
43,1774969293605,1598,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
44,1774969293630,1622,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
45,1774969293660,1644,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
46,1774969293693,1687,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
47,1774969293726,1709,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
48,1774969293759,1752,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
49,1774969293789,1779,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
50,1774969293815,1805,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
51,1774969293855,1850,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
52,1774969293887,1873,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
53,1774969293917,1915,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
54,1774969293945,1937,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
55,1774969293974,1965,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
56,1774969294000,1990,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
57,1774969294023,2012,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
58,1774969294051,2034,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
59,1774969294077,2077,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
60,1774969294101,2098,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
61,1774969294125,2118,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
62,1774969294149,2139,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
63,1774969294178,2167,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
64,1774969294205,2191,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
65,1774969294237,2235,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
66,1774969294269,2260,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
67,1774969294308,2305,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
68,1774969294342,2335,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
69,1774969294375,2357,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
70,1774969294416,2416,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
71,1774969294458,2459,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
72,1774969294503,2501,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
73,1774969294538,2527,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
74,1774969294571,2569,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
75,1774969294608,2590,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
76,1774969294643,2632,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
77,1774969294679,2675,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
78,1774969294714,2703,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
79,1774969294743,2746,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
80,1774969294977,3007,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
81,1774969295068,3071,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
82,1774969295119,3117,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
83,1774969295173,3168,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
84,1774969295223,3210,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
85,1774969295271,3259,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
86,1774969295307,3301,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
87,1774969295361,3354,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
88,1774969295409,3405,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
89,1774969295453,3447,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
90,1774969295480,3469,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
91,1774969295511,3513,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
92,1774969295541,3534,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
93,1774969295574,3576,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
94,1774969295610,3600,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
95,1774969295641,3643,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
96,1774969295671,3664,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
97,1774969295702,3691,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
97,1774969295702,3713,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
99,1774969295766,3755,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
100,1774969295795,3778,0.000000,0.000000,0.000000,20,43,54,8192,0.000000
101,1774969295828,3824,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
102,1774969295858,3848,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
103,1774969295890,3891,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
104,1774969295920,3913,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
105,1774969295961,3955,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
106,1774969295992,3975,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
107,1774969296020,4018,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
108,1774969296052,4045,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
109,1774969296087,4087,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
110,1774969296120,4110,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
111,1774969296149,4139,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
112,1774969296181,4182,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
113,1774969296206,4204,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
114,1774969296235,4225,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
115,1774969296267,4267,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
116,1774969296300,4288,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
117,1774969296330,4330,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
118,1774969296364,4351,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
119,1774969296396,4393,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
120,1774969296437,4435,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
121,1774969296470,4460,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
122,1774969296505,4503,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
123,1774969296542,4533,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
124,1774969296583,4576,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
125,1774969296619,4619,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
126,1774969296658,4648,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
127,1774969296696,4690,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
128,1774969296736,4733,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
129,1774969296774,4775,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
130,1774969296816,4818,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
131,1774969296852,4842,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
132,1774969296884,4885,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
133,1774969296921,4907,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
134,1774969296953,4950,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
135,1774969296991,4993,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
136,1774969297023,5013,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
137,1774969297058,5057,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
138,1774969297092,5082,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
139,1774969297132,5124,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
140,1774969297166,5167,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
141,1774969297199,5189,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
142,1774969297237,5233,0.000000,0.000000,0.000000,20,52,54,8192,0.000000
143,1774969297271,5260,0.000000,0.000000,0.000000,20,50,54,8192,0.000000
144,1774969297300,5302,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
145,1774969297333,5323,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
146,1774969297366,5365,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
147,1774969297399,5390,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
148,1774969297429,5417,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
149,1774969297463,5461,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
150,1774969297492,5482,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
151,1774969297524,5525,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
152,1774969297555,5546,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
153,1774969297594,5589,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
154,1774969297625,5614,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
155,1774969297663,5657,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
156,1774969297701,5700,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
157,1774969297750,5746,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
157,1774969297750,5790,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
159,1774969297855,5854,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
160,1774969297918,5918,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
161,1774969297959,5959,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
162,1774969298002,6002,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
163,1774969298030,6022,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
164,1774969298064,6065,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
165,1774969298098,6088,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
166,1774969298132,6131,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
167,1774969298162,6152,0.000000,0.000000,0.000000,20,51,54,8192,0.000000
168,1774969298192,6175,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
169,1774969298235,6229,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
170,1774969298275,6271,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
171,1774969298320,6315,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
172,1774969298365,6359,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
173,1774969298408,6402,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
174,1774969298442,6424,0.000000,0.000000,0.000000,20,50,54,8192,0.000000
175,1774969298472,6467,0.000000,0.000000,0.000000,20,51,54,8192,0.000000
176,1774969298502,6492,0.000000,0.000000,0.000000,20,52,54,8192,0.000000
177,1774969298532,6534,0.000000,0.000000,0.000000,20,51,54,8192,0.000000
178,1774969298572,6566,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
179,1774969298607,6608,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
180,1774969298648,6640,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
181,1774969298688,6681,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
182,1774969298730,6723,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
183,1774969298780,6771,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
184,1774969298824,6817,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
185,1774969298874,6859,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
186,1774969298936,6930,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
187,1774969298981,6973,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
188,1774969299021,7016,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
189,1774969299060,7058,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
190,1774969299121,7121,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
190,1774969299121,7163,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
192,1774969299232,7225,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
193,1774969299290,7289,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
194,1774969299329,7311,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
195,1774969299371,7361,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
196,1774969299415,7407,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
197,1774969299445,7438,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
198,1774969299490,7487,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
199,1774969299530,7531,0.000000,0.000000,0.000000,20,51,54,8192,0.000000
200,1774969299565,7555,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
201,1774969299597,7599,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
202,1774969299636,7625,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
203,1774969299668,7667,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
204,1774969299700,7690,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
205,1774969299738,7732,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
206,1774969299772,7763,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
207,1774969299814,7806,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
208,1774969299853,7848,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
209,1774969299898,7890,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
210,1774969299938,7932,0.000000,0.000000,0.000000,20,52,54,8192,0.000000
211,1774969299984,7975,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
212,1774969300025,8017,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
213,1774969300074,8069,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
214,1774969300129,8122,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
215,1774969300187,8186,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
216,1774969300231,8230,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
217,1774969300270,8251,0.000000,0.000000,0.000000,20,50,54,8192,0.000000
218,1774969300305,8295,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
219,1774969300341,8337,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
220,1774969300385,8379,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
221,1774969300420,8422,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
222,1774969300462,8464,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
223,1774969300503,8485,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
224,1774969300541,8531,0.000000,0.000000,0.000000,20,50,54,8192,0.000000
225,1774969300573,8575,0.000000,0.000000,0.000000,20,50,54,8192,0.000000
226,1774969300602,8596,0.000000,0.000000,0.000000,20,51,54,8192,0.000000
227,1774969300635,8624,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
228,1774969300666,8667,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
229,1774969300697,8689,0.000000,0.000000,0.000000,20,52,54,8192,0.000000
230,1774969300729,8731,0.000000,0.000000,0.000000,20,51,54,8192,0.000000
231,1774969300755,8753,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
232,1774969300781,8774,0.000000,0.000000,0.000000,20,53,54,8192,0.000000
233,1774969300807,8795,0.000000,0.000000,0.000000,20,50,54,8192,0.000000
234,1774969300836,8839,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
235,1774969300863,8860,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
236,1774969300896,8882,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
237,1774969300935,8924,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
238,1774969300968,8967,0.000000,0.000000,0.000000,20,50,54,8192,0.000000
239,1774969300999,8990,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
240,1774969301028,9018,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
241,1774969301053,9038,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
242,1774969301087,9080,0.000000,0.000000,0.000000,20,44,54,8192,0.000000
243,1774969301138,9134,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
244,1774969301189,9182,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
245,1774969301237,9232,0.000000,0.000000,0.000000,20,51,54,8192,0.000000
246,1774969301280,9273,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
247,1774969301320,9315,0.000000,0.000000,0.000000,20,52,54,8192,0.000000
248,1774969301359,9358,0.000000,0.000000,0.000000,20,52,54,8192,0.000000
249,1774969301404,9399,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
250,1774969301452,9444,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
251,1774969301489,9488,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
252,1774969301556,9551,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
253,1774969301600,9594,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
254,1774969301630,9624,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
255,1774969301663,9650,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
256,1774969301694,9693,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
257,1774969301725,9717,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
258,1774969301759,9760,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
259,1774969301796,9783,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
260,1774969301827,9827,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
261,1774969301860,9850,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
262,1774969301895,9892,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
263,1774969301925,9916,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
264,1774969301953,9940,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
264,1774969301953,9961,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
266,1774969302006,10003,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
267,1774969302028,10025,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
268,1774969302049,10047,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
269,1774969302070,10069,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
270,1774969302095,10090,0.000000,0.000000,0.000000,20,50,54,8192,0.000000
271,1774969302124,10115,0.000000,0.000000,0.000000,20,51,54,8192,0.000000
272,1774969302163,10157,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
273,1774969302205,10200,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
274,1774969302244,10243,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
275,1774969302290,10286,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
276,1774969302330,10328,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
277,1774969302375,10372,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
278,1774969302415,10416,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
279,1774969302465,10458,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
280,1774969302508,10501,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
281,1774969302550,10543,0.000000,0.000000,0.000000,20,45,54,8192,0.000000
282,1774969302590,10586,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
283,1774969302637,10629,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
284,1774969302695,10694,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
285,1774969302745,10738,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
286,1774969302790,10780,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
287,1774969302836,10822,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
288,1774969302878,10868,0.000000,0.000000,0.000000,20,51,54,8192,0.000000
289,1774969302924,10910,0.000000,0.000000,0.000000,20,51,54,8192,0.000000
290,1774969302972,10972,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
291,1774969303019,11015,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
292,1774969303073,11063,0.000000,0.000000,0.000000,20,46,54,8192,0.000000
293,1774969303127,11127,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
294,1774969303181,11170,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
295,1774969303246,11240,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
296,1774969303337,11328,0.000000,0.000000,0.000000,20,47,54,8192,0.000000
297,1774969303395,11394,0.000000,0.000000,0.000000,20,49,54,8192,0.000000
298,1774969303476,11467,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
299,1774969303528,11530,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
300,1774969303580,11573,0.000000,0.000000,0.000000,20,48,54,8192,0.000000
